CLASS,SENTENCES,SNO
N,دنیائے حادثات ہے اک درد ناک گیتدنیا کے حادثات سے گھبرا کے پی گیاکانٹے تو خیر کانٹے ہیں ان سے گلہ ہی کیاپھولوں کی واردات سے گھبرا کے پی گیا ,523
P,جا چکے ھو مگر نہیں جاتے تم تو ہجرت کمال کرتے ھو ,524
N,"نہیں میں شیو نہیں کرتا، صرف ٹویٹ کرتا ہوں بغیر ٹائپو والی ؛ڈ ",525
N,"کہیں پڑھا تھا جمیعت علما پاکستان بریلوی فقہ کے علما کی ہے ، لیکن یاد نہیں ٹھیک سے ۔ ",526
N,وچ داڑھی اسلام نہ کوئیبن عملاں قرآن نہ کوئیجے مکراں تو باز نہ آؤے ملاں جیہا بے ایمان نہ کوئیجے گر پا دیوے ۔۔۔ ,527
N,عمرؓ کے نام لیوا کا ہے نصب العین حق کوشی کبھی باطل کے آگے اس کا سر خم ہو نہیں سکتا سیدنا عمر فاروق ,528
P,"لاہور: سعد اختر بھروانہ ڈی آئی جی ٹریننگ تعینات،نوٹی فکیشن جاری"" ",529
P,آقا صلی اللہ علیہ و آلہ وسلم کے صحابہ صحبت کی وجہ سے ہی اتنے پختہ ایمان اور یقین والے تهے اور ان میں ان کے مرشد کا عکس تها ,530
N,دبئی ٹیسٹ: پاکستان کے خلاف آسٹریلیا کی آٹھویں وکٹ 170 رنز پر گر گئی ,531
N,ن لیگ وہ پارٹی ہے جوضیاکی بندوق کے زور پہ وبائی مرض کی طرح پهیلیجبکہتحریک انصاف آہستہ آہستہ خوشبو کی طرح اپنا اثر دکھا رہی ہے ,532
N,اس گاڑی کا نمبر ڈیزل چور ھے چندے سے انقلاب ,533
P,"پراٹھے ، مچھلی، چائے عمران خان کے ساتھ ",534
P,"کتاب - دستک انتساب میری زندگی، ان رشتوں کے نام، جو عجیب بھی ھیں اور غریب بھی - جو محبت اور اذیت کا نایاب۔۔۔ ",535
N,جلسے کی ناکامی کا غصه جیو نیوز کے نمائیندے پر اسکا کیمره توڑ کر نکالا گیا۔ خان جی آپ حقیقت چھپا نھی سکتے ,536
N,بلوچستان میں جنگلی کتوں کو آزاد چھوڑنے کے بعد وزیر اعلی کہتے ہیں حالات کو خراب کرنے میں غیرملکی ہاتھ شامل ہے ۔ ,537
N,قادری انکل نے جو کفن سِلوایا تھا نواز حکومت کے لیے وہ کہاں گیا؟ ,538
N,میں کیمیا پڑھ پڑھ کے تنگ آچکی ہوں ۔ ,539
N,"لوہا نائلون، پرانا پلاسٹک، ٹین ڈبے ، پتریاں گراریاں ، پرانے ٹائر ٹیوب، یہ سب چیزیں چندے سے انقلاب میں کافی مددگار ہو سک۔۔۔ ",540
N,اور جو مجھے انقلاب نہ لانے کے طعنے مارے ۔۔۔ اسے بھی شھید کردو ,541
N,ہمیں آج پتا چلا کہ اس لعنتی ابو لولو فیروز کا مزار بھی ہے ایران میں ۔۔ حیرت ہے ۔۔ ,542
N,شاہد آفریدی الیون نے آئی ڈی پیز الیون کو ہرا دیا ,543
N,بہت بہت شکریہ۔۔۔ ہم نے تو مٹھائی کھانی ہے آپ سے ۔۔ ,544
P,"ﺗﻤﺎﻡ ﻣﺴﻠﻤﺎﻧﻮﮞ ﮐﻮ ﻧﯿﺎ ﺍﺳﻼﻣﯽ ﺳﺎﻝ ﻣﺒﺎﺭﮎ ﮨﻮ ﺩﻋﺎ ﮐﺮﺗﮯ ﮨﯿﮟ ﺍﻟﻠﮧ ﺗﻌﺎﻟﯽٰ ﺗﻤﺎﻡ ﻣﺴﻠﻤﺎﻧﻮﮞ ﭘﺮ ﺍﭘﻨﮯ ﮐﺮﻡ ﺳﮯ ﺭﺣﻤﺘﯿﮟ ،ﺑﺮﮐﺘﯿﮟ ﻧﻌﻤﺘﯿﮟ ﻧﺎﺯﻝ ﻓﺮﻣﺎﺋﯿﮟ ﺁﻣﯿﻦ ﺛﻢ ﺁﻣﯿﻦ ",545
P,اسلام آباد ان دھرنوں کے لئے موزوں ہے ۔ امیروں کا شہر ہے ریڑھی والے غریبوں کا خرچہ نکل آتا ہے ,546
N,"برازیل میں بصارت سے محروم خواتین کے لیے ""ڈانس اسکول"" کھول دیا گیا،جن کی مہارت کو داد دیئے بغیر کو۔۔۔ ",547
N,نیا بلاگ کب تک پوسٹ کریں گی آپ؟؟؟؟ ,548
P,بجھی بجھی ’شامِ شعرِ یاراں ‘ ,549
N,عدالت نے چالان موصول ہونے پر ملزمان کے خلاف ٹرائل شروع کر دیا ,550
N,"چلو کچھ دیر ہنستے ہیں محبت پرعنایت پرکہ بے بنیاد ہیں باتیں سبھی رشتے ، سبھی ناتے ضرورت کی ہیں یجادیں کہیں کوئی نہیں مرتاکسی کی واسطے جاناں ",551
P,"الله اکبر ,,,,,,,,,,,,,,,,,مولانا جی کیا بات ھے ",552
P,"جمعه مبارک ، دعا میں یاد رکھیں ،شکریه ",553
N,ﺗﺤﺮﯾﮏِ ﺍﻧﺼﺎﻑ ﺍﻭﺭ ﻋﻮﺍﻣﯽ ﺗﺤﺮﯾﮏ ﮐﯽ ﺳﻮﺷﻞ ﻣﯿﮉﯾﺎﻭﺍﺭ ﺩﻭﻧﻮﮞ ﮐﻮ ﮐﻤﺰﻭﺭ ﮐﺮ ﺩﮮ ﮔﯽ۔ﺩﺷﻤﻦ ﮐﻮ ﻣﻮﻗﻊﻣﺖ ﺩﯾﮟ ﺩﻭﻧﻮﮞ ﺗﺒﺪﯾﻠﯽ ﻭﺍﻟﮯ ﻣﺘﺤﺪ ﺭﮨﯿﮟ ,554
N,"ہم پیپلز پارٹی سے اپنے حکومتی تعلقات کو ختم کررہے ہیں ،فاروق ستار"" ",555
N,بلائنڈڈولفن کو واپس دریائے سندھ میں چھوڑ دیا گیا ,556
N,ملا کی اذاں اور مجاھدکی اذاں ۔۔۔ ملک زیشان اشرف کی جانب سے کیا شاندار کمنٹ آیا ہے ,557
N,کراچی کے بیشتر علاقوں میں نیوز چینلز کی نشریات بند ,558
N,"ایم کیو ایم کو منانے کی کوئی کوشش نہیں کی،رحمان ملکگویا اس بار خود ہی ذلیل ہو کہ واپس آ جاویں گے جیسے طاھرکینیڈوی ذلیل و رسوا ہو کہ آ گئے ",559
N,دھرنا ختم کرنے پر عوامی تحریک کے کارکن رو پڑے ۔۔۔۔۔یہ خبر ایسے لوگ بھی شئیر کر رہے ہیں جو دن رات یہ کہا کرتے تھے ۔۔۔ ,560
P,"مجھے ایسا لطف عطا کیا، جو ہجر تھا نہ وصال تھامرے موسموں کے مزاج داں ، تجھے میرا کتنا خیال تھاکسی اور چہرے کو۔۔۔ ",561
N,ہم نے اپنے وجود کی چادر تنگ اپنے گمان پر کی ہے ,562
N,کادری کو یہاں سے دھکا دینا چاھیئے ۔ ,563
N,سمارٹ فون کے عادیوں کے لیے ڈجٹل ڈیٹاکس کیپ: ڈیجیٹل کھلونوں کي لت میں مبتلا بعض لوگ اپنے علاج کے ۔۔۔ ,564
N,"سیتا وایٔٹ کا وقوعہ تو مملکت خداداد پاکستان کی حدود سے باہر کا ہے ،اس لیے اسلامی حد لاگو نہیں ہو سکتی، ",565
P,اے شفقت اے ھن جناب دیناراض نا ہونا مرا ویر ,566
P,نبی اکرم صلٰی اللہ علیہ وآلہ وسلم پر ہزاروں کڑوڑوں درود و سلام ,567
N,پھر نون لیگی کیسے جھیلتی ہیں ؟ وہ تو بہت عجیب ہیں ۔ ہر وقت ہی سڑے سڑے رہتے ہیں ,568
N,کراچی: باپ بیٹے اورسابق ایف آئی اے ملازم سمیت 5 افراد ہلاک ,569
N,آج کا کارٹون لمبی ٹانگ والا کرکٹر پارلیمنٹ میں کیلن بولڈ ہوتا ہوا نظر آیا ,570
P,آج سے بیس سال پہلے ایک عزیز تعلیم کے سلسلے میں امریکہ میں مقیم تھا ,571
N,دبئی ٹیسٹ پر پاکستان کی گرفت مضبوط ,572
N,"ڈیرہ غازی خان : تھانا گدائی میں زیر حراست ملزم نے مبینہ طور پر خود کو آگ لگا دی،زخمی ملزم کو اسپتال منتقل کردیا گیا، پولیسAUS-196-8 ",573
N,راولپنڈی :ترقی کی بجائے تنزلی کی رفتا ر بہت تیز ہے کرپٹ اشرافیہ اپنے بیرون ملک اکاؤنٹس کو بھررہی ہے جماعت اسلامی۔۔۔ ,574
P,۔شہدا نے پکارا ہے تم کوفردوس کے بالا خانوں سے ۔ہم راہ وفا میں کٹ آے تم کوپیارہے ابھی تک اپنی جانوں سے ۔28ذوالحج یوم شھادت محمد عثمان باغائي ,575
N,نماز فجر کے بعد چند جنونیوں کا مسجد کے سپیکر پر دهاوا کسی ٹارچر سے کم نهیں شور ,576
N,میں منٹو سے شرمنده هوں آج۔ ۔ ۔ دل چاہاکہ ترتیب ٹهیک کردوں ۔ ۔مگر امرتا پریتم سب سے نچلی شیلف میں دیکه کر دو آنسو حلق میں اتارے ۔ ,577
P,اَلسَّلاَمُ عَلَيْكُم ُصُبحَ بَخَیر اللہ تعالیٰ سے بخشش مانگو! بے شک اللہ تعالیٰ بخشش / مہربانی کرنے والا ہے ۔‘‘ ,578
N,نیوز چینلز کے پرائم ٹائم پر لایا گیا انقلاب اٹھ گیاخطرہ ہے انقلاب کے روح رواں قبض شکار نہ ہوں لہذا وقت پر اسبغول پی لیا کریں ,579
N,"کرکٹ کی الف ب نہیں پتہ تو جنونی ہونے کا فائدہ کیا ،،وہ سلیم یوسف ہے ",580
N,پانچ فیصد دیوبندی تکفیری اقلیت کی پچھتر فیصد سنی بریلوی صوفی اکثریت کے خلاف دہشت گردی کب تک؟ – فاروق چشتی ,581
N,"مَقرُوض کے بِگڑے ہُوئے حالات کی مانِند،مَجبُور کے ہَونٹُوں پہ سَوالات کی مانِنددِل کا تَیری چاہَت میں عَجَب حال۔۔۔ ",582
N,پاکستان میں جب لیڈر کی موت اتی ھے وہ چینل بند کرنے کو دوڑتا ھے ۔آپس کی بات ھے ن لیگی لیڈر اور گیدڑ میں فرق تلاش کرنا ناممکن ھے ,583
P,ساقی تیری محفل میں ہم کچے جام اچھالیں گے جب ڈی چوک میں جائیں گے ڈیزل سے نہا لیں گے چندے سے انقلاب ,584
N,بے بس بھکاریوں کی طرح توڑ کر انا کشکول لے کے تیرے در و بام تک گے ۔۔ ,585
N,پروفیسرغلام اعظم کی شہادتحکومت رویہ درست کرے ۔ حمید گلمحسنوں کو بھولنا بدنصیبی ہے ۔ اسلم بیگعوامی لیگ نے ۔۔۔ ,586
N,"لوٹ آنے کی امیدیں ٹوٹ پائی هی نهیں بند هو پائے نهیں هیں اب بهی در، کهنا اسے (ملک عدنان احمد) بے سہارا محسوس کر ریا ہوں ",587
P,"مفتی محمود نے کہا تھاخدا کا شکر، ہم پاکستان بنانے کے گناہ میں شامل نہیں تھے پھر مفتی صاب مغربی جمہوریت کا حصہ دار بن کرسرحد کے وزیر اعلی لگ گئے ",588
P,میری دعا ھے کہ نیا اسلامی سال ھمارے ملک کیلئے بہتری لے کر آئے ۔مسلمانوں کو نئے اسلامی سال کی مبارک ,589
N,پی آئی اے کا مالی بحران شدت اختیار کرگیا ,590
N,پشاور میں آب درہ روڈ پر واقع پلازہ میں سلنڈر دھماکہ دھماکے میں خاتون سمیت 2ا فراد زخمی ,591
N,"بکھری ہے تری زلف تو ہم شانہ کریں گے ، مٹی میں ملا دیں گے حریفوں کی تدابیر، اے وادی کشمیر! ",592
P,دیکھ کر جو ہمیں چپ چاپ گزر جاتا ہے کبھی اس شخص کو ہم پیار کیا کرتے تھے ,593
P,ر ایک بچے کی سکول میں موجودگی یقینی بنانے کے لئے ریاست کو تعلیمی معاملات سے نمٹنے کے لئے نئی قوت کے ساتھ عزم کو یقینی… ,594
N,"پاک ایران گیس پائپ لائن پر امریکا نے پابندی عائد کررکھی ہے ،وزیر پٹرولیم» ",595
P,"+ تاکہ سوشل میڈیا پرختم نبوت کے کام کو بہتر اور منظم انداز میں کیا جاسکے ، ساتھی کل ہونے والی کانفرنس میں شرکت لازمی بنائیں چناب نگر کانفرنس ",596
N,"انقلاب آیا نہ جانے کدھر گیا ،، اک شہر تھا آباد اجڑ گیا ",597
N,"جس ملک میں انصاف نہیں ملتا ، وہاں حق کا بول بالا کیسے ہو سکتا ہے ؟ اس ملک کو سب سے زیادہ نقصان اہل انصاف نے دیا: ",598
N,ناچ گانے والا پاکستان نہیں چاہیے لیکن میری بیٹی اچها ناچتی ہے ۔راناخطابت اور ٹهمکے ساتھ ساتھ ۔۔ شرمیلا ,599
P,"تئیس اکتوبر کو عوامی تحریک کے جلسے کے لیے ایبٹ آبادجاؤں گا،طاہر القادری ",600
N,"لاہور :محرم ،سیکیورٹی کیلئے انتظامات کو حتمی شکل ",601
N,آج قادری صاحب نے کچھ عمران خان سے مایوس ہو کر اور کچھ ڈیل کے نتیجے میں اپنا دھرنا ختم کر دیا- اس فیصلے کے کئی۔۔۔ ,602
P,آسٹریلیا کیخلاف 40 سال بعد دونوں اننگز میں سینجریاں اسکور ہوئیں ,603
N,مسجد میں ریپ کرنے والے امام کو 20 سال قید۔۔صرف بیس مزید پڑھیں ,604
P,لاہور:نان اور روٹی کی مقررہ قیمتوں پر فروخت یقینی بنا رہے ہیں ۔ انتظامیہ ,605
N,"جہلم،تحریک إنصفاف سونامی کی لہریں سولہ نومبر کو جہلم سے ٹکرایں گی،، ",606
N,*لیکن ہم نے جنگلا بس بنانی ہے *ملتان میں پینے کا صاف پانی نہیں لیکن ہم نے جنگلا بس بنانی ہے ۔ملتان میں ساری سڑکیں ۔۔۔ ,607
N,ھم شھزاد کوروتے ھیں یہاں سیانہ بیانہ معین خان بھی سیلفیاں لیتاھے ۔ ,608
N,"کوہلی اور انوشکا کب شادی کررہے ہیں ، عامر خان کو بھی فکر لاحق ہوگئی via ",609
N,تم پھر نہ آ سکو گے بتانا تو تھا مجھے تم دور جا کے بس گئے میں ڈھونڈھتا پھرا ,610
P,لاہور: مدعیہ کا پسند کی شادی والا بیان برقرار۔ ,611
P,بجلی کی قیمتوں میں اضافہ واپس ,612
P,جانے دیں سر جی :) ,613
N,گلی میں پھرتا ھے رات بھر کوئی۔۔۔۔۔ گلے میں نیند کا تعویز ڈالے ھوئے ۔۔۔!! ,614
N,"ایم کیو ایم کو دھمکی آمیز خطوط بھیجے جا رہے ہیں ، رہ نما ایم کیوایم آصف حسنین ",615
N,ٹھرکی سے یاد آیا کہاں ہے آجکل؟ ,616
P,حسان ریاض جیت نہیں رہا-حسان ریاض جیت گیا ہے -مبارک ہو مبارک ہو مبارک ہو ,617
N,لاہور: رانا ثنااللہ کو نوٹس پنجاب اسمبلی سیکرٹریٹ کے پتے پر بھجوا دیاگیا۔ ,618
N,فرشتہ یا بھیڑیا ۔۔۔۔طاہر القادی کتنے میں بکے ؟؟؟ورثا کی دیت کے ۔۔۔ ,619
N,رقم کچھ زیاده کریں پهر خاں صاحب سے بات کرتے ہیں ,620
P,خلیفہ ہارون رشید؟ ,621
N,یونس خان آسٹریلیا کے خلاف ایک ٹیسٹ میں دو سنچریاں سکور کرنیوالے چالیس سال میں پہلے کھلاڑی بن گئے ,622
N,: سانحہ ہزارہ کے ملزموں کو جلد از جلد گرفتار کیا جائے گا :عبدالمالک بلوچ ,623
P,حضرت عمرؓ اکثر کہا کرتے تھے اے عمرؓ تجھے تو اونٹ چلانے نہ آتے تھے آج اسلام نے تجھے کہاں پہنچا دیا ,624
N,میں سُوت کے دھاگے کی طرح ٹوٹ گيا تھاوہ چرخہ گھمائے گی تو کچھ یاد کرے گی ,625
N,اور ویسے بھی بیمارکا علا ج کیا جاتاھے مردے کانھیں ۔نورے اور زرداری کا علاج نھیں ھو سکتا کیونکه یه مر چکے ھیں ۔۔تدفین باقی ھے ان کی۔ ,626
N,پشاور: یونیورسٹی روڈ پر السیدپلازہ کے قریب دھماکا ,627
P,"مولانا صاحب آپ کی عزت لوگ آپ کے والد صاحب کی وجہ سے کرتے ہیں ، کل آپ کے مدرسوں پر بھی کئی سوالات اٹھ سکتے ہیں ",628
N,وہ رفاقتیں نہیں بھولے کہ تیرے بغیر ایک لمحہ بھی بہت سوگوار ھوتا تھا ,629
N,"اب سمجھ آرہی ہے ، انہی مولویوں کو نبی کریمﷺ کے وارث سمجھتے تھے آپ لوگ،آیؑ عقل ٹھکانے ؟ ",630
N,سعودی عرب: القاعدہ کی حمایت پر خواتین کو سزائیں ,631
P,"محترم /محترمہ خوش آمدید ،ویلکم،جی آیاں نوں فالو یو بیک ایز ریٹرن محبت ",632
P,آپؓ کا اسم گرامی ’’عمر‘‘ لقب ’’فاروق‘‘ اور کنیت ’’ابو حفص‘‘ ہے ۔ سیدنا عمرؓ کا نسب مبارک نویں پشت پر سیدنا محمد ﷺ سے جا ملتا ہے ۔سیدنا عمر ,633
N,"پارلیمنٹ ، صوبائی اسمبلیاں ، وفاقی اور صوبائی حکومتیں عوام کی پریشانیوں اور معاشرے کی بدترین ٹوٹ پھوٹ سے بے خبر ہیں ۔ ",634
P,24 اکتوبر کو گجرات جلسہ میں حلقہ کی عوام بھرپور شرکت کریں ۔ چوہدری زبیر احمد ٹانڈہ ,635
P,"آپ کی بات ٹھیک ہو سکتی ہے ،کیونکہ یہ تو کویؑ خاتون ہی صحیح حقیقت حال واضح کر سکتی ہے ۔شکریہ ",636
N,"میں نے پوچھا کہ زندگی کیا ہے ہنس دئیے پھول، رو پڑی شبنم ",637
P,نئی نظریاتی ونگ کا سہرا اسی کو جاتا ہے آزادی مارچ نے کامیابی سے نظریاتی۔۔۔ ,638
N,ﻻﮨﻮﺭ:ﺷﮩﺮﻣﯿﮟ ﻣﺮﺩﮦ ﺟﺎﻧﻮﺭﻭﮞ ﮐﮯ ﮔﻮﺷﺖ ﮐﯽ ﻓﺮﻭﺧﺖ ﮐﺎ ﺍﻧﮑﺸﺎﻑ ﻓﺮﻭﺧﺖ ﮨﻮﻧﯿﻮﺍﻟﮯﮔﻮﺷﺖ ﻣﯿﮟ ﻣﺮﺩﮦ ﮔﮭﻮﮌﮮ ﺍﻭﺭﮔﺪﮬﮯ ﮐﺎ ﮔﻮﺷﺖ ﺑﮭﯽ ﺷﺎﻣﻞ ,639
N,لاہور: پیپر ری چیکننگ کی چار ہزار پانچ سو درخواستیں موصول ہوئے ہیں ۔لاہور بورڈ ,640
N,اور اگر پی ٹی آئ نے کها که الیکشن ضمنی نهیں ھونے دینے تو پانچ فی صد ٹرن آوٹ ھوگا۔ اور یا نهیں ھونگے ۔ ,641
N,"ڈرتا ہوں دیکھ کر دلِ بے آرزو کو میں سنسان گھر یہ کیوں نہ ہو،مہمان تو ",642
P,دیکهی ہیں جب سے ہم نے نذریں اتاریاں ہیں سارے جہاں سے اچهی آنکهیں تمہاریاں ہیں ,643
P,"؛راولپنڈی:فتح جنگ کے قریب مسافروین کی ٹینکر سے ٹکر دو بچے جاں بحق،دس افراد زخمی، زخمیوں میں چار خواتین بھی شامل، زخمی تحصیل ہیڈ کوارٹر اسپتال منتقل ",644
N,لاہور: جاں بحق ہونے والے رانا اشرف کے ورثاء نے لاش سڑک پر رکھ کر احتجاج کرنا شروع کردیا۔ ,645
N,اللہ جانے وے ماہی تیرا پیار کی اے دل دی اوداسی نی جاندی ,646
P,کراچی: گیارہویں آرٹس ریگولر و پرائیویٹ کے نتائج کا اعلان ۔ ,647
N,ڈیزل ڈیزل کپتان ڈیزل ,648
N,یہ دن بھی آنے تھے خچروں کو ہیروں کے درمیاں لا کھڑا کیا جاوے گا ,649
P,پاکستان- آسٹریلیا ٹیسٹ سیریز سے قبل بین الاقوامی کرکٹ کونسل نے ٹیسٹ رینکنگ جاری کردی ہے ,650
P,جادو بهری آنکھوں والی سنو !! تم ایسے مجھے دیکھا نہ کرو ۔۔۔۔ ,651
N,تنگ آ چکے ہیں کشمکش زندگی سے ہمٹھکرا نہ دیں جہاں کو کہیں بے دلی سے ہم۔۔۔ ,652
N,28 سال کی عمر میں بھٹو پہلی مرطبہ منظر عام پر آیا جنرل ایوب خان کی حکومت کا وزیر پٹرولیم بن کے ۔ یعنی اپنی محنت سے نہیں ۔ ,653
N,پاکستان میں تشدد پسندی-بے حسی اور دوسروں کو تکلیف میں دیکھ کر خوش ہونے کے رجحان جیسی بیماریوں میں اضافہ ھو رھا ہے افسوس یہاں انسان نہیں رہتے ,654
N,وہ میری آخری سرحد ہو جیسے سوچ جاتی ہی نہیں اب اُس سے آگے ,655
N,"غازی تربیلہ :اسکول میں بجلی کا تار گرگیا، 11طلبہ جھلس کرزخمی ",656
N,مضبوط کرپٹ مافیا کا کون کیا بگاڑ سکتا ہے ۔ بس اللہ ہی اس ملک اور عوام پہ اپنا رحم فرمائے ۔ آمین۔ ,657
N,"چیچہ وطنی: حکام کی عدم توجہی، امراض قلب یونٹ میں تالے پڑ گئے ",658
N,""": خواب ہوتے ہیں دیکھنے کے لئے ان میں جا کر مگر رہا نہ کرومنیر نیازی"" ",659
P,عالم پناہ نے جان نہیں لی شکر نہیں کرتے ,660
P,یونس خان کی ریکارڈ ساز سنچری کے بعد آسٹریلیا کو دبئی ٹیسٹ جیتنے کے لیے 438 رنز کا ہدف درکار ,661
N,توکیاوہ ہم کوہرجرم کی سزا دے گاپھراپنے رحم و کرم کا ثبوت کیا دے گامیں روزِ حشر کا قائل ھوں پھر بھی ہنستا ھوں کہ بندہ خدا کو حساب کیا دے گا ,662
N,سالا چار اوورز تک کوئی وکٹ نہ گرے تو میچ بورنگ بورنگ لگنا شروع ہو جاتا ہے ,663
N,مقامی سیشن کورٹ نے نواز گھمن سکنہ ڈھک ,664
N,ایم کیو ایم کا سندھ حکومت اور آزاد کشمیر حکومت سے علیدگی کا علان فاروق ستار ,665
N,"ٹریفک کے بہاﺅ میں خلل پیدا کرنے پر انسٹھ ،تجاوزات قائم کرنے پر سات مقدمات درج کرائے ",666
N,ایدھی سنٹر میں ڈاکے کا مرکزی ملزم سابق ملازم نکلا ,667
N,اسکا کوئی حل نہیں ,668
P,ھاھاھاھا اب میں سمجھا۔۔۔۔۔وش یو گڈ لک یور فریڈم ,669
N,حضرت ڈی جے بٹ لبے بالاں والی سرکار کا مقبرھ بھی ادھر ہی بنے گا ,670
P,کتنے خوش نصیب ہیں وہ لوگ جنہیں اللہ رب کائنات نے ماہ محرم میں نواسہ رسول امام حسین علیہ السلام کا ذکر کرنے ذکر سننے کے لئے چن لیا ,671
P,اے اللہ اس ملک کے محسن عمران خان کو کامیابی عطا فرما اسے کبهی اپنے مخلوق کے سامنے نہ جهکاہمیں اسکا ساتھ دینے کی توفیق عطافرما ,672
N,"رقص کرنا ہے تو پھر پاؤں کی زنجیر نہ دیکھشاہ, ",673
P,لاہور: وزیر اعلی نوٹس لے کر داد رسی کریں ۔ مظاہرین ,674
N,طاہر القادری صاحب ہاشمی کی طرح بے بنیاد انکشافات کب شروع کریں گے ,675
N,"جدو جہد جہاں نہ ھو، وہاں مقدرات حکومت کرتے ھیں ۔فرمانِ خلیفہ ",676
N,پیتل کی بالیوں میں بیٹی بیاھ دی اس نے باپ کام کرتا تھا سونے کی کان میں ,677
N,تمہیں انقلاب کا واسطہ میرے چھوٹے چھوٹے دھرنے ہیں چندے سے انقلاب ,678
N,حاضرین یاسین ملک کی یادوں میں کھو کرآبدیدہ ہو گئے ,679
N,بڑے مقصد کے لیے چھوٹی موٹی ڈیزل چوری جائز ہوتی ہے ,680
P,سب سے بڑی بات یه ھے که کے پی کے میں صرف پی ٹی آئ جیتے گی۔ یه مجھ سے لکھوا لیں ۔ لوگ کیا کهتے ھیں حجروں اور گھروں میں وه ھم سنتے ھیں ,681
N,اگر کراچی اور حیدرآباد میں ایم کیو ایم مظبوط ہے تو اسکی سب سے بڑی وجہ پیپلز پارٹی کی بیڈ گورننس اور اربن سندھ کو نظر انداز کرنا ہے ۔ ,682
N,یہ دور جاہلیت کے ابو جہل ہیں انکا اصلاح سے کیا واسطہ انکو سرداری عزیز ہے ,683
P,24 گھنٹے بجلی آنے والی ہے ,684
N,"حلقہ بندیوں سے پہلے الیکشن کمیشن کے موجودہ ممبران مستعفی ہوجائیں ، اگر نہ ہوئے تو ان کا گھیراؤ بھی کیا جاسکتا ہے & u ",685
P,"کراچی: ہم نے پہلے پاکستان بنایا اور پھر پاکستان ہجرت کی ،خواجہ اظہار الحسن ",686
N,میں نے تورات ھی بتادیا کہ برا ھوگا بہت براھوگا۔پاکستان 7/2۔ٹیسٹ ,687
N,سرجی مسکین لوگ آں اسی ڈان کتھوں ہو گئے ؟ ,688
N,تھر میں بچے بھوک پیاس سے مر رہیں ہیں تم کہتے ہو سندھ نہ ڈیسوں ,689
N,سالا چوتیا ,690
N,لاہور:پسند کی شادی کرنے والی لڑکیاں پہلے حالات کیوں نہیں سمجھتیں ۔ جسٹس قاسم خان ,691
N,"جس کام کے بارے میں آپ سوچنا نہیں چھوڑ سکتے ،اس کام کو پایۂ تکمیل تک پہنچانے کیلئے کوشش کرنا بھی نہ چھوڑیئے ۔ ",692
N,بھول گے ھیں اسی لیے تو ابھی تک عمل نھی کیا اپنی بات پر ,693
N,دیکھے هیں بهت هم نے هنگام محبت کے آغاز بھی رسوائی انجام بھی رسوائی ,694
N,آج ملنگی بہت اداس ہے ,695
P,"مجاہد اعظم مولانا غلام اعظم نے اپنی جوانی سے بڑھا پے تک صبر ،عزمیت اور مسلسل جدوجہد کی تاریخ رقم کر دی ۔۔۔۔۔۔۔۔اس۔۔۔ ",696
N,جس سے کوئی خطا ہوئی ہو کبھی۔۔۔ ہم کو وہ آدمی ملا ہی نہیں ۔۔۔۔۔۔۔۔۔ ,697
N,"حملوں سے خوفزدہ نہیں ہونگے ، حملہ آور نو مسلم اور واچ لسٹ پر تھا، کینیڈین وزیر اعظم ",698
N,گناہ انسانی روح کے لئے زہر کا درجہ رکھتا ہے ,699
P,ہلکی غذا لو سوپ پیو ,700
N,ذرا سی لا پرواہی بہت سب کچھ برباد کر دیتی ہے ,701
P,بادام۔ بیش بہا فوائد کا حامل جسمانی اور دماغی قوت اور قوت حافظہ میں اضافہ کرتا ہے دماغ اور آنکھوں کے لئے بہترین۔۔۔ ,702
N,"سر جی۔بائیس توپوں کی سلامی ھے اس عقل پر جو اتنے تجربے ، ملکی نقصان،عمر کے اس حصے ، کے بحدآگئی آپکے بقول۔قوم پر یہ احسان ھے ¿¿ ",703
N,ﻭﮦ ﭼﺸﻢ ﻓﺘﻨﮧ ﮔﺮ ﮨﮯ ﺳﺎﻗﯽﺀ ﻣﯿﺨﺎﻧﮧ ﺑﺮﺳﻮﮞ ﺳﮯﮐﮧ ﺑﺎﮨﻢ ﻟﮍ ﺭﮨﮯ ﮨﯿﮟ ﺷﯿﺸﮧ ﻭ ﭘﯿﻤﺎﻧﮧ ﺑﺮﺳﻮﮞ ﺳﮯﺍﻗﺒﺎﻝ ﺳﮩﯿﻞ ,704
N,"پتھرو تمہاری اوقات ھے کیا۔۔۔؟؟؟اس شخص کا دل ۤاف توبہ،،،،!! ",705
P,آگیا ماہ محرم بچھ گیا فرشِ عزا عرش سے انسو بہانے آگئی ہے فاطمہ ع زیادہ سے زیادہ شیئر کریں اور کمینٹ کریں — ,706
P,حجر اسود:وہ سیاہ پتھر جو بیت الله کے جنوب مشرق میں دروازے کی بائیں طرف والے کونے میں باہر کی طرف نصب ہے ۔ یہ پتھر جنت سے زمین پر آیا تھا۔ ,707
P,میرے جذبات سے واقف ہے میرا قلمدھرنہ لکھوں ڈرامہ لکھا جاتا ہے ,708
P,اپنے عزیزوں کو نشے کی لعنت سے بچائیں ,709
N,نئے بجلی میٹرز کے حوالے سے خبریں بے بنیاد : وزیر اعظم معائنہ کمیشن ,710
P,ڈالر کا کمال هے جناب ,711
N,ایک چہرے په کئی چہرے سجا لیتے ہیں لوگ ,712
